 episode               m      robot_x      robot_y      goal_x       goal_y      g      f    t_h    t_m    t_s     ep
      18      13878    6.643e-01   -1.625e+00    7.000e-01   -1.900e+00   1   0          0   19   08    1.807e-01
      19      14030   -9.666e-01   -1.714e+00   -1.000e+00   -2.000e+00   1   0          0   19   17    1.811e-01
      19      14165    1.514e+00   -1.772e+00    1.800e+00   -1.800e+00   1   0          0   19   46    1.811e-01
      19      14196    1.450e+00   -1.377e+00   -1.000e+00    1.000e+00   0   1          0   19   54    1.811e-01
      20      14199    1.446e+00   -1.377e+00   -1.000e+00   -2.000e+00   0   1          0   19   55    1.815e-01
      21      14289    3.224e-02    1.386e+00   -1.000e-01    1.600e+00   1   0          0   20   23    1.820e-01
      21      14310   -5.107e-01    1.341e+00   -1.900e+00    1.100e+00   0   1          0   20   29    1.820e-01
      22      14394    1.776e+00    1.366e+00    2.000e+00    1.500e+00   1   0          0   20   55    1.825e-01
      22      14470    1.287e-01    1.530e+00   -1.000e-01    1.600e+00   1   0          0   21   16    1.825e-01
      23      14698   -9.854e-01   -1.717e+00   -1.000e+00   -2.000e+00   1   0          0   21   32    1.830e-01
      23      15162    3.873e-01    1.581e+00    5.000e-01    1.800e+00   1   0          0   22   04    1.830e-01
      23      15634    1.764e+00   -1.527e+00    1.800e+00   -1.800e+00   1   0          0   22   35    1.830e-01
      23      15782   -1.683e+00    9.722e-01   -1.900e+00    1.100e+00   1   0          0   23   16    1.830e-01
      23      15861   -1.264e+00   -1.366e+00   -1.000e+00   -2.000e+00   0   1          0   23   40    1.830e-01
      25      15919   -1.657e+00    9.670e-01   -1.900e+00    1.100e+00   1   0          0   24   00    1.840e-01
      25      16259   -1.579e-01   -7.674e-01    0.000e+00   -1.000e+00   1   0          0   24   25    1.840e-01
      25      16467   -1.719e+00   -8.808e-01   -2.000e+00   -8.000e-01   1   0          0   24   40    1.840e-01
      25      16484   -1.657e+00   -5.493e-01    0.000e+00   -1.000e+00   0   1          0   24   46    1.840e-01
      26      16584   -2.155e-01    1.330e+00   -1.000e-01    1.600e+00   1   0          0   25   14    1.845e-01
      26      16601   -4.107e-01    1.560e+00   -1.300e+00   -9.000e-01   0   1          0   25   19    1.845e-01
      27      16694    1.685e+00   -3.618e-01    1.900e+00   -5.000e-01   1   0          0   25   47    1.851e-01
      27      16942    3.894e-01    1.293e+00    2.000e-01    1.500e+00   1   0          0   26   07    1.851e-01
      28      17070    1.787e+00    1.371e+00    2.000e+00    1.500e+00   1   0          0   26   46    1.856e-01
      28      17422   -7.095e-01    1.028e+00   -1.000e+00    1.000e+00   1   0          0   27   11    1.856e-01
      28      17690    3.404e-01   -1.249e+00    5.000e-01   -1.500e+00   1   0          0   27   32    1.856e-01
      28      18238   -1.642e+00    9.731e-01   -1.900e+00    1.100e+00   1   0          0   28   03    1.856e-01
      28      18261   -1.690e+00    6.920e-01    1.800e+00   -1.800e+00   0   1          0   28   09    1.856e-01
      30      18314   -4.108e-02   -1.225e+00    5.000e-01   -1.500e+00   0   1          0   28   21    1.868e-01
      32      18325   -1.033e+00   -8.325e-01   -1.300e+00   -9.000e-01   1   0          0   28   25    1.881e-01
      32      18793    1.523e+00   -1.809e+00    1.800e+00   -1.800e+00   1   0          0   28   52    1.881e-01
      32      18973   -2.841e-01   -1.038e+00    0.000e+00   -1.000e+00   1   0          0   29   02    1.881e-01
      32      19101   -1.715e+00   -7.978e-01   -2.000e+00   -8.000e-01   1   0          0   29   09    1.881e-01
      32      19257   -9.999e-01   -1.701e+00   -1.000e+00   -2.000e+00   1   0          0   29   18    1.881e-01
      32      19825    1.759e+00    1.384e+00    2.000e+00    1.500e+00   1   0          0   29   49    1.881e-01
      32      20017   -9.935e-01    7.091e-01   -1.000e+00    1.000e+00   1   0          0   30   03    1.881e-01
      32      20241    5.051e-01   -2.538e-01    6.000e-01    0.000e+00   1   0          0   30   20    1.881e-01
      33      20401   -9.980e-01   -1.717e+00   -1.000e+00   -2.000e+00   1   0          0   30   33    1.888e-01
      33      20693   -1.664e+00    9.683e-01   -1.900e+00    1.100e+00   1   0          0   30   51    1.888e-01
      33      20733   -1.010e+00   -8.410e-01   -1.300e+00   -9.000e-01   1   0          0   30   54    1.888e-01
      33      21237    1.503e+00   -1.774e+00    1.800e+00   -1.800e+00   1   0          0   31   20    1.888e-01
      33      21417   -6.284e-01    2.446e-01   -5.000e-01    5.000e-01   1   0          0   31   30    1.888e-01
      33      21466   -6.481e-02   -1.235e+00    7.000e-01   -1.900e+00   0   1          0   31   43    1.888e-01
      35      21495   -2.844e-01   -1.047e+00    0.000e+00   -1.000e+00   1   0          0   31   53    1.901e-01
      35      21799    3.359e-01    1.555e+00    5.000e-01    1.800e+00   1   0          0   32   15    1.901e-01
      35      21835   -1.901e-01   -1.208e+00    5.000e-01   -1.500e+00   0   1          0   32   26    1.901e-01
      37      21903   -1.883e-01    1.338e+00   -1.000e-01    1.600e+00   1   0          0   32   45    1.916e-01
      37      21963    9.979e-03    8.393e-01    5.000e-01    1.800e+00   0   1          0   33   02    1.916e-01
      39      22013    5.152e-01   -2.808e-01    6.000e-01    0.000e+00   1   0          0   33   19    1.932e-01
      39      22229   -2.003e-01    1.349e+00   -1.000e-01    1.600e+00   1   0          0   33   38    1.932e-01
      39      22441    8.347e-02    1.262e+00    2.000e-01    1.500e+00   1   0          0   33   59    1.932e-01
      39      22645   -2.178e-01    1.325e+00   -1.000e-01    1.600e+00   1   0          0   34   17    1.932e-01
      39      22829    5.098e-01   -1.670e+00    7.000e-01   -1.900e+00   1   0          0   34   35    1.932e-01
      39      22909   -1.741e+00   -7.702e-01   -2.000e+00   -8.000e-01   1   0          0   34   42    1.932e-01
      39      22974    1.173e+00   -1.679e+00    1.800e+00   -1.800e+00   0   1          0   35   06    1.932e-01
